model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS
Process25,0,0,1,0,1,0,1,3,0.718446602,0.718446602,0.765785742,0.829145729,0.52
Process25,0,0,1,0,1,0,2,4,0.346938776,0.346938776,0.708333333,0.659574468,0.515
Process25,0,0,1,0,1,0,3,5,0.264150943,0.264150943,0.691666667,0.578378378,0.4525
Process25,0,0,1,0,1,1,0,3,0.909090909,0.909090909,0.865937135,0.93236715,0.6675
Process25,0,0,1,0,1,1,1,4,0.632653061,0.632653061,0.727411616,0.787564767,0.4525
Process25,0,0,1,0,1,1,2,5,0.464646465,0.464646465,0.738153846,0.726804124,0.54
Process25,0,0,1,0,1,1,3,6,0.525252525,0.525252525,0.759434343,0.76142132,0.53
Process25,0,0,1,0,1,2,0,4,0.942307692,0.942307692,0.958427033,0.972727273,0.7725
Process25,0,0,1,0,1,2,1,5,0.660194175,0.660194175,0.806864802,0.829268293,0.5275
Process25,0,0,1,0,1,2,2,6,0.446601942,0.446601942,0.739487179,0.706185567,0.445
