model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,GED,,
Process101,0,0,1,3,0,0,1,5,0.557
Process101,0,0,1,3,0,0,2,6,0.449
Process101,0,0,1,3,0,0,3,7,0.401
Process101,0,0,1,3,0,1,0,5,0.581
Process101,0,0,1,3,0,1,1,6,0.516
Process101,0,0,1,3,0,1,2,7,0.532
Process101,0,0,1,3,0,1,3,8,0.447
Process101,0,0,1,3,0,2,0,6,0.605
Process101,0,0,1,3,0,2,1,7,0.443
Process101,0,0,1,3,0,2,2,8,0.403
Process101,0,0,1,3,0,2,3,9,0.549
Process101,0,0,1,3,0,3,0,7,0.632
Process101,0,0,1,3,0,3,1,8,0.568
Process101,0,0,1,3,0,3,2,9,0.529
Process101,0,0,1,3,0,3,3,10,0.392
Process101,0,0,1,3,1,0,0,5,0.497
Process101,0,0,1,3,1,0,1,6,0.43
Process101,0,0,1,3,1,0,2,7,0.224
Process101,0,0,1,3,1,0,3,8,0.532
Process101,0,0,1,3,1,1,0,6,0.577
Process101,0,0,1,3,1,1,1,7,0.531
Process101,0,0,1,3,1,1,2,8,0.322
Process101,0,0,1,3,1,1,3,9,0.337
Process101,0,0,1,3,1,2,0,7,0.529
Process101,0,0,1,3,1,2,1,8,0.501
Process101,0,0,1,3,1,2,2,9,0.503
Process101,0,0,1,3,1,2,3,10,0.513
Process101,0,0,1,3,1,3,0,8,0.425
Process101,0,0,1,3,1,3,1,9,0.493
Process101,0,0,1,3,1,3,2,10,0.442
Process101,0,0,1,3,1,3,3,11,0.336
Process101,0,0,1,3,2,0,0,6,0.442
Process101,0,0,1,3,2,0,1,7,0.439
Process101,0,0,1,3,2,0,2,8,0.417
Process101,0,0,1,3,2,0,3,9,0.232
Process101,0,0,1,3,2,1,0,7,0.516
Process101,0,0,1,3,2,1,1,8,0.445
Process101,0,0,1,3,2,1,2,9,0.39
Process101,0,0,1,3,2,1,3,10,0.394
Process101,0,0,1,3,2,2,0,8,0.548
Process101,0,0,1,3,2,2,1,9,0.423
Process101,0,0,1,3,2,2,2,10,0.22
Process101,0,0,1,3,2,2,3,11,0.4
Process101,0,0,1,3,2,3,0,9,0.598
Process101,0,0,1,3,2,3,1,10,0.454
Process101,0,0,1,3,2,3,2,11,0.484
Process101,0,0,1,3,2,3,3,12,0.477
Process101,0,0,1,3,3,0,0,7,0.614
Process101,0,0,1,3,3,0,1,8,0.443
Process101,0,0,1,3,3,0,2,9,0.355
Process101,0,0,1,3,3,0,3,10,0.392
Process101,0,0,1,3,3,1,0,8,0.438
Process101,0,0,1,3,3,1,1,9,0.553
Process101,0,0,1,3,3,1,2,10,0.273
Process101,0,0,1,3,3,1,3,11,0.454
Process101,0,0,1,3,3,2,0,9,0.585
Process101,0,0,1,3,3,2,1,10,0.536
Process101,0,0,1,3,3,2,2,11,0.497
Process101,0,0,1,3,3,2,3,12,0.449
Process101,0,0,1,3,3,3,0,10,0.411
Process101,0,0,1,3,3,3,1,11,0.487
Process101,0,0,1,3,3,3,2,12,0.383
Process101,0,0,1,3,3,3,3,13,0.397
Process101,0,0,2,0,0,0,0,2,0.476
Process101,0,0,2,0,0,0,1,3,0.618
Process101,0,0,2,0,0,0,2,4,0.515
Process101,0,0,2,0,0,0,3,5,0.439
Process101,0,0,2,0,0,1,0,3,0.518
Process101,0,0,2,0,0,1,1,4,0.545
Process101,0,0,2,0,0,1,2,5,0.649
Process101,0,0,2,0,0,1,3,6,0.478
Process101,0,0,2,0,0,2,0,4,0.561
Process101,0,0,2,0,0,2,1,5,0.506
Process101,0,0,2,0,0,2,2,6,0.522
Process101,0,0,2,0,0,2,3,7,0.419
Process101,0,0,2,0,0,3,0,5,0.534
Process101,0,0,2,0,0,3,1,6,0.482
Process101,0,0,2,0,0,3,2,7,0.443
Process101,0,0,2,0,0,3,3,8,0.566
Process101,0,0,2,0,1,0,0,3,0.627
Process101,0,0,2,0,1,0,1,4,0.535
Process101,0,0,2,0,1,0,2,5,0.411
Process101,0,0,2,0,1,0,3,6,0.441
Process101,0,0,2,0,1,1,0,4,0.467
Process101,0,0,2,0,1,1,1,5,0.612
Process101,0,0,2,0,1,1,2,6,0.422
Process101,0,0,2,0,1,1,3,7,0.453
Process101,0,0,2,0,1,2,0,5,0.485
Process101,0,0,2,0,1,2,1,6,0.427
Process101,0,0,2,0,1,2,2,7,0.399
Process101,0,0,2,0,1,2,3,8,0.333
Process101,0,0,2,0,1,3,0,6,0.676
Process101,0,0,2,0,1,3,1,7,0.444
Process101,0,0,2,0,1,3,2,8,0.551
Process101,0,0,2,0,1,3,3,9,0.307
Process101,0,0,2,0,2,0,0,4,0.509
Process101,0,0,2,0,2,0,1,5,0.513
Process101,0,0,2,0,2,0,2,6,0.592
Process101,0,0,2,0,2,0,3,7,0.445
Process101,0,0,2,0,2,1,0,5,0.584
Process101,0,0,2,0,2,1,1,6,0.472
Process101,0,0,2,0,2,1,2,7,0.458
Process101,0,0,2,0,2,1,3,8,0.405
Process101,0,0,2,0,2,2,0,6,0.64
Process101,0,0,2,0,2,2,1,7,0.502
Process101,0,0,2,0,2,2,2,8,0.492
Process101,0,0,2,0,2,2,3,9,0.483
Process101,0,0,2,0,2,3,0,7,0.489
Process101,0,0,2,0,2,3,1,8,0.559
Process101,0,0,2,0,2,3,2,9,0.531
Process101,0,0,2,0,2,3,3,10,0.447
