sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,GED,LCS,BehavioralProfile
ResearchPaper1,0,0,0,2,3,1,0,0.8035714285714286,1.0,0.762962962962963
ResearchPaper1,0,0,0,2,3,1,1,0.7142857142857143,1.0,0.7303571428571428
ResearchPaper1,0,0,0,2,3,1,2,0.6785714285714286,1.0,0.36259541984732824
ResearchPaper1,0,0,0,2,3,1,3,0.7115384615384616,1.0,0.5323383084577115
ResearchPaper1,0,0,0,2,3,2,0,0.8141592920353982,1.0,0.6512820512820513
ResearchPaper1,0,0,0,2,3,2,1,0.6964285714285714,1.0,0.6010016694490818
ResearchPaper1,0,0,0,2,3,2,2,0.7321428571428572,1.0,0.6208112874779541
ResearchPaper1,0,0,0,2,3,2,3,0.4642857142857143,1.0,0.30991337824831566
ResearchPaper1,0,0,0,2,3,3,0,0.8288288288288288,1.0,0.7446043165467626
ResearchPaper1,0,0,0,2,3,3,1,0.6964285714285714,1.0,0.6252129471890971
ResearchPaper1,0,0,0,2,3,3,2,0.5945945945945945,1.0,0.5326797385620915
ResearchPaper1,0,0,0,2,3,3,3,0.5178571428571428,1.0,0.6961325966850829
ResearchPaper1,0,0,0,3,0,0,0,0.7610619469026548,1.0,0.6847457627118644
ResearchPaper1,0,0,0,3,0,0,1,0.6725663716814159,1.0,0.6705882352941176
ResearchPaper1,0,0,0,3,0,0,2,0.7079646017699115,1.0,0.6508972267536705
ResearchPaper1,0,0,0,3,0,0,3,0.6725663716814159,1.0,0.6622073578595318
ResearchPaper1,0,0,0,3,0,1,0,0.7321428571428572,1.0,0.6734348561759729
ResearchPaper1,0,0,0,3,0,1,1,0.7142857142857143,1.0,0.33807829181494664
ResearchPaper1,0,0,0,3,0,1,2,0.5357142857142857,1.0,0.655
ResearchPaper1,0,0,0,3,0,1,3,0.375,1.0,0.3613861386138614
ResearchPaper1,0,0,0,3,0,2,0,0.8108108108108107,1.0,0.6941580756013745
ResearchPaper1,0,0,0,3,0,2,1,0.6306306306306306,1.0,0.6298157453936348
ResearchPaper1,0,0,0,3,0,2,2,0.6126126126126126,1.0,0.6392092257001647
ResearchPaper1,0,0,0,3,0,2,3,0.5142857142857142,1.0,0.6354166666666666
ResearchPaper1,0,0,0,3,0,3,0,0.7090909090909091,1.0,0.6699507389162561
ResearchPaper1,0,0,0,3,0,3,1,0.5818181818181818,1.0,0.6493288590604027
ResearchPaper1,0,0,0,3,0,3,2,0.49090909090909096,1.0,0.6243822075782537
ResearchPaper1,0,0,0,3,0,3,3,0.509090909090909,1.0,0.6218905472636815
ResearchPaper1,0,0,0,3,1,0,0,0.736842105263158,1.0,0.6722689075630253
ResearchPaper1,0,0,0,3,1,0,1,0.6725663716814159,1.0,0.6365131578947368
ResearchPaper1,0,0,0,3,1,0,2,0.5087719298245614,1.0,0.648424543946932
ResearchPaper1,0,0,0,3,1,0,3,0.5087719298245614,1.0,0.6110210696920584
ResearchPaper1,0,0,0,3,1,1,0,0.8495575221238938,1.0,0.6332794830371568
ResearchPaper1,0,0,0,3,1,1,1,0.6785714285714286,1.0,0.66890756302521
ResearchPaper1,0,0,0,3,1,1,2,0.5309734513274336,1.0,0.5752351097178683
ResearchPaper1,0,0,0,3,1,1,3,0.5225225225225225,1.0,0.5583596214511041
ResearchPaper1,0,0,0,3,1,2,0,0.6071428571428572,1.0,0.6638225255972696
ResearchPaper1,0,0,0,3,1,2,1,0.6071428571428572,1.0,0.6273504273504273
ResearchPaper1,0,0,0,3,1,2,2,0.5178571428571428,1.0,0.6344262295081967
ResearchPaper1,0,0,0,3,1,2,3,0.6071428571428572,1.0,0.4046639231824417
ResearchPaper1,0,0,0,3,1,3,0,0.7567567567567568,1.0,0.6830508474576271
ResearchPaper1,0,0,0,3,1,3,1,0.5585585585585586,1.0,0.5772870662460567
ResearchPaper1,0,0,0,3,1,3,2,0.46846846846846846,1.0,0.6327868852459017
ResearchPaper1,0,0,0,3,1,3,3,0.5818181818181818,1.0,0.6610169491525424
ResearchPaper1,0,0,0,3,2,0,0,0.7652173913043478,1.0,0.6734006734006734
ResearchPaper1,0,0,0,3,2,0,1,0.6260869565217391,1.0,0.6876061120543294
ResearchPaper1,0,0,0,3,2,0,2,0.5132743362831859,1.0,0.6790540540540541
ResearchPaper1,0,0,0,3,2,0,3,0.6086956521739131,1.0,0.6566666666666666
ResearchPaper1,0,0,0,3,2,1,0,0.7543859649122807,1.0,0.43178807947019865
ResearchPaper1,0,0,0,3,2,1,1,0.5789473684210527,1.0,0.5395569620253164
ResearchPaper1,0,0,0,3,2,1,2,0.5405405405405406,1.0,0.6044520547945206
ResearchPaper1,0,0,0,3,2,1,3,0.543859649122807,1.0,0.5482388973966309
ResearchPaper1,0,0,0,3,2,2,0,0.8141592920353982,1.0,0.6873889875666075
ResearchPaper1,0,0,0,3,2,2,1,0.6964285714285714,1.0,0.5736677115987461
ResearchPaper1,0,0,0,3,2,2,2,0.5045045045045045,1.0,0.6487394957983194
ResearchPaper1,0,0,0,3,2,2,3,0.5178571428571428,1.0,0.645
ResearchPaper1,0,0,0,3,2,3,0,0.7454545454545455,1.0,0.6512027491408935
ResearchPaper1,0,0,0,3,2,3,1,0.6486486486486487,1.0,0.5817610062893082
ResearchPaper1,0,0,0,3,2,3,2,0.5357142857142857,1.0,0.6273885350318471
ResearchPaper1,0,0,0,3,2,3,3,0.5892857142857143,1.0,0.502262443438914
ResearchPaper1,0,0,0,3,3,0,0,0.7758620689655172,1.0,0.6700167504187605
ResearchPaper1,0,0,0,3,3,0,1,0.7130434782608696,1.0,0.3025210084033613
ResearchPaper1,0,0,0,3,3,0,2,0.7241379310344828,1.0,0.512630014858841
ResearchPaper1,0,0,0,3,3,0,3,0.4655172413793104,1.0,0.5316455696202531
ResearchPaper1,0,0,0,3,3,1,0,0.7304347826086957,1.0,0.36926889714993805
ResearchPaper1,0,0,0,3,3,1,1,0.6371681415929203,1.0,0.307286166842661
ResearchPaper1,0,0,0,3,3,1,2,0.6055045871559632,1.0,0.5609756097560976
ResearchPaper1,0,0,0,3,3,1,3,0.5263157894736843,1.0,0.5469953775038521
ResearchPaper1,0,0,0,3,3,2,0,0.7256637168141593,1.0,0.6812816188870152
ResearchPaper1,0,0,0,3,3,2,1,0.7818181818181819,1.0,0.6320907617504052
ResearchPaper1,0,0,0,3,3,2,2,0.5614035087719298,1.0,0.4847605224963715
ResearchPaper1,0,0,0,3,3,2,3,0.49122807017543857,1.0,0.3496420047732697
ResearchPaper1,0,0,0,3,3,3,0,0.6964285714285714,1.0,0.6781411359724613
ResearchPaper1,0,0,0,3,3,3,1,0.7522935779816513,1.0,0.7391304347826086
ResearchPaper1,0,0,0,3,3,3,2,0.5688073394495412,1.0,0.527363184079602
ResearchPaper1,0,0,0,3,3,3,3,0.5486725663716814,1.0,0.5643879173290938
ResearchPaper1,0,0,1,0,0,0,0,0.9622641509433962,1.0,0.8032036613272311
ResearchPaper1,0,0,1,0,0,0,1,0.6799999999999999,1.0,0.8395604395604396
ResearchPaper1,0,0,1,0,0,0,2,0.6603773584905661,1.0,0.7730337078651686
ResearchPaper1,0,0,1,0,0,0,3,0.6857142857142857,1.0,0.6795918367346939
ResearchPaper1,0,0,1,0,0,1,0,0.9719626168224299,1.0,0.8832951945080092
ResearchPaper1,0,0,1,0,0,1,1,0.8785046728971962,1.0,0.8062360801781737
ResearchPaper1,0,0,1,0,0,1,2,0.7476635514018692,1.0,0.8308668076109936
ResearchPaper1,0,0,1,0,0,1,3,0.6862745098039216,1.0,0.8577494692144374
ResearchPaper1,0,0,1,0,0,2,0,0.9719626168224299,1.0,0.8718535469107551
ResearchPaper1,0,0,1,0,0,2,1,0.8380952380952381,1.0,0.6770833333333334
