model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,,,
Process101,0,0,0,2,2,1,2,7,0.752136752,0.752136752,0.802166667,0.893509128,0.6275,,,
Process101,0,0,0,2,2,1,3,8,0.74137931,0.74137931,0.874345878,0.890132248,0.2875,,,
Process101,0,0,0,2,2,2,0,6,0.886956522,0.886956522,0.837481884,0.943396226,0.5525,,,
Process101,0,0,0,2,2,2,1,7,0.713043478,0.713043478,0.7965681,0.88024565,0.49,,,
Process101,0,0,0,2,2,2,2,8,0.586206897,0.586206897,0.711477273,0.830543933,0.4475,,,
Process101,0,0,0,2,2,2,3,9,0.643478261,0.643478261,0.851439394,0.85388601,0.6,,,
Process101,0,0,0,2,2,3,0,7,0.886956522,0.886956522,0.837161319,0.943396226,0.3775,,,
Process101,0,0,0,2,2,3,1,8,0.817391304,0.817391304,0.761768477,0.918592965,0.4925,,,
Process101,0,0,0,2,2,3,2,9,0.725663717,0.725663717,0.745460784,0.886386899,0.4925,,,
Process101,0,0,0,2,2,3,3,10,0.591304348,0.591304348,0.772111331,0.833682008,0.4175,,,
Process101,0,0,0,2,3,0,0,5,0.854700855,0.854700855,0.768055556,0.9312749,0.6625,,,
Process101,0,0,0,2,3,0,1,6,0.752136752,0.752136752,0.870833333,0.893509128,0.49,,,
Process101,0,0,0,2,3,0,2,7,0.68907563,0.68907563,0.858696821,0.867963153,0.4125,,,
Process101,0,0,0,2,3,0,3,8,0.690265487,0.690265487,0.72770202,0.873326468,0.42,,,
Process101,0,0,0,2,3,1,0,6,0.847457627,0.847457627,0.705066667,0.928286853,0.62,,,
Process101,0,0,0,2,3,1,1,7,0.762711864,0.762711864,0.679166667,0.896865521,0.695,,,
Process101,0,0,0,2,3,1,2,8,0.762711864,0.762711864,0.679952107,0.896865521,0.5675,,,
Process101,0,0,0,2,3,1,3,9,0.482758621,0.482758621,0.825838338,0.78891258,0.4675,,,
Process101,0,0,0,2,3,2,0,7,0.834782609,0.834782609,0.823743137,0.924849699,0.535,,,
Process101,0,0,0,2,3,2,1,8,0.74137931,0.74137931,0.673038847,0.890132248,0.4825,,,
Process101,0,0,0,2,3,2,2,9,0.603448276,0.603448276,0.714621212,0.837330553,0.4375,,,
Process101,0,0,0,2,3,2,3,10,0.754385965,0.754385965,0.872333333,0.896236012,0.7025,,,
Process101,0,0,0,2,3,3,0,8,0.834782609,0.834782609,0.763055556,0.924849699,0.41,,,
Process101,0,0,0,2,3,3,1,9,0.827586207,0.827586207,0.693055556,0.921843687,0.47,,,
Process101,0,0,0,2,3,3,2,10,0.74137931,0.74137931,0.673994253,0.890132248,0.4125,,,
Process101,0,0,0,2,3,3,3,11,0.775862069,0.775862069,0.750277778,0.902932255,0.53,,,
Process101,0,0,0,3,0,0,0,3,0.905982906,0.905982906,0.9004,0.941916747,0.7125,,,
Process101,0,0,0,3,0,0,1,4,0.700854701,0.700854701,0.841507895,0.867602808,0.6225,,,
Process101,0,0,0,3,0,0,2,5,0.64957265,0.64957265,0.827440909,0.848178138,0.545,,,
Process101,0,0,0,3,0,0,3,6,0.626086957,0.626086957,0.825660606,0.84114053,0.65,,,
Process101,0,0,0,3,0,1,0,4,0.655172414,0.655172414,0.829808333,0.851214575,0.565,,,
Process101,0,0,0,3,0,1,1,5,0.620689655,0.620689655,0.820523913,0.83808554,0.475,,,
Process101,0,0,0,3,0,1,2,6,0.586206897,0.586206897,0.817170332,0.824795082,0.535,,,
Process101,0,0,0,3,0,1,3,7,0.603448276,0.603448276,0.819362846,0.831460674,0.415,,,
Process101,0,0,0,3,0,2,0,5,0.8,0.8,0.857473684,0.90513834,0.43,,,
Process101,0,0,0,3,0,2,1,6,0.747826087,0.747826087,0.84847218,0.886340977,0.625,,,
Process101,0,0,0,3,0,2,2,7,0.713043478,0.713043478,0.840358621,0.873620863,0.5175,,,
Process101,0,0,0,3,0,2,3,8,0.643478261,0.643478261,0.824817391,0.847715736,0.455,,,
Process101,0,0,0,3,0,3,0,6,0.807017544,0.807017544,0.861274208,0.908102767,0.6475,,,
Process101,0,0,0,3,0,3,1,7,0.701754386,0.701754386,0.836858621,0.870221328,0.4675,,,
Process101,0,0,0,3,0,3,2,8,0.727272727,0.727272727,0.842983621,0.882293763,0.505,,,
Process101,0,0,0,3,0,3,3,9,0.614035088,0.614035088,0.819202273,0.837589377,0.465,,,
Process101,0,0,0,3,1,0,0,4,0.813559322,0.813559322,0.738227451,0.908644401,0.625,,,
Process101,0,0,0,3,1,0,1,5,0.717948718,0.717948718,0.839829885,0.874,0.62,,,
Process101,0,0,0,3,1,0,2,6,0.813559322,0.813559322,0.865711111,0.908644401,0.6325,,,
Process101,0,0,0,3,1,0,3,7,0.694915254,0.694915254,0.768890323,0.864593781,0.5725,,,
Process101,0,0,0,3,1,1,0,5,0.803418803,0.803418803,0.733104274,0.905418719,0.6225,,,
Process101,0,0,0,3,1,1,1,6,0.64957265,0.64957265,0.69835,0.848178138,0.4575,,,
Process101,0,0,0,3,1,1,2,7,0.683760684,0.683760684,0.705390323,0.861167002,0.41,,,
Process101,0,0,0,3,1,1,3,8,0.598290598,0.598290598,0.7541,0.828396323,0.57,,,
Process101,0,0,0,3,1,2,0,6,0.793103448,0.793103448,0.733783007,0.902173913,0.6475,,,
Process101,0,0,0,3,1,2,1,7,0.810344828,0.810344828,0.794488889,0.908374384,0.64,,,
Process101,0,0,0,3,1,2,2,8,0.796460177,0.796460177,0.8582,0.904856293,0.56,,,
Process101,0,0,0,3,1,2,3,9,0.637931034,0.637931034,0.827478788,0.844670051,0.58,,,
Process101,0,0,0,3,1,3,0,7,0.842105263,0.842105263,0.869158824,0.92043222,0.505,,,
Process101,0,0,0,3,1,3,1,8,0.67826087,0.67826087,0.763622989,0.86074672,0.6175,,,
Process101,0,0,0,3,1,3,2,9,0.643478261,0.643478261,0.755509091,0.847715736,0.4875,,,
Process101,0,0,0,3,1,3,3,10,0.591304348,0.591304348,0.744788172,0.827868852,0.3625,,,
Process101,0,0,0,3,2,0,0,5,0.847457627,0.847457627,0.873177778,0.920898438,0.695,,,
Process101,0,0,0,3,2,0,1,6,0.68907563,0.68907563,0.707556989,0.861584754,0.4975,,,
Process101,0,0,0,3,2,0,2,7,0.68907563,0.68907563,0.708890323,0.861584754,0.585,,,
Process101,0,0,0,3,2,0,3,8,0.610169492,0.610169492,0.822405195,0.83197556,0.5225,,,
Process101,0,0,0,3,2,1,0,6,0.769230769,0.769230769,0.781023077,0.89296333,0.5375,,,
Process101,0,0,0,3,2,1,1,7,0.735042735,0.735042735,0.7741,0.880358923,0.5825,,,
Process101,0,0,0,3,2,1,2,8,0.627118644,0.627118644,0.75473587,0.83857868,0.435,,,
Process101,0,0,0,3,2,1,3,9,0.576271186,0.576271186,0.748690909,0.818647541,0.55,,,
Process101,0,0,0,3,2,2,0,7,0.786324786,0.786324786,0.727373279,0.899209486,0.5175,,,
Process101,0,0,0,3,2,2,1,8,0.725663717,0.725663717,0.775299797,0.879638917,0.5875,,,
Process101,0,0,0,3,2,2,2,9,0.620689655,0.620689655,0.695660606,0.83808554,0.58,,,
Process101,0,0,0,3,2,2,3,10,0.695652174,0.695652174,0.639763339,0.867203219,0.59,,,
Process101,0,0,0,3,2,3,0,8,0.827586207,0.827586207,0.745548718,0.91453831,0.56,,,
Process101,0,0,0,3,2,3,1,9,0.689655172,0.689655172,0.773488889,0.864185111,0.5925,,,
Process101,0,0,0,3,2,3,2,10,0.706896552,0.706896552,0.768927586,0.870611836,0.495,,,
Process101,0,0,0,3,2,3,3,11,0.637168142,0.637168142,0.756083871,0.847250509,0.5425,,,
Process101,0,0,0,3,3,0,0,6,0.813559322,0.813559322,0.733557895,0.908644401,0.6225,,,
Process101,0,0,0,3,3,0,1,7,0.666666667,0.666666667,0.635781818,0.852112676,0.565,,,
