model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,,
Process25,0,0,1,0,0,1,0,2,0.951456311,0.951456311,0.89627924,0.948164147,0.7775,,
Process25,0,0,1,0,0,1,1,3,0.734693878,0.734693878,0.839567852,0.823129252,0.51,,
Process25,0,0,1,0,0,1,2,4,0.577319588,0.577319588,0.775612648,0.705035971,0.52,,
Process25,0,0,1,0,0,1,3,5,0.301075269,0.301075269,0.695384615,0.48,0.4225,,
Process25,0,0,1,0,0,2,0,3,0.941176471,0.941176471,0.88752924,0.941304348,0.78,,
Process25,0,0,1,0,0,2,1,4,0.589473684,0.589473684,0.709267677,0.685,0.37,,
Process25,0,0,1,0,0,2,2,5,0.537634409,0.537634409,0.758997669,0.683823529,0.525,,
Process25,0,0,1,0,0,2,3,6,0.453608247,0.453608247,0.738315217,0.601503759,0.5025,,
Process25,0,0,1,0,0,3,0,4,0.951456311,0.951456311,0.89627924,0.948164147,0.7925,,
Process25,0,0,1,0,0,3,1,5,0.666666667,0.666666667,0.814365079,0.770833333,0.675,,
